@relation seriesSingapur.arff

@attribute Dia: {1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20}
@attribute Casos: numeric
@attribute Fallecidos: numeric

@data
1/22/20,0,0
1/23/20,1,0
1/24/20,3,0
1/25/20,3,0
1/26/20,4,0
1/27/20,5,0
1/28/20,7,0
1/29/20,7,0
1/30/20,10,0
1/31/20,13,0
2/1/20,16,0
2/2/20,18,0
2/3/20,18,0
2/4/20,24,0
2/5/20,28,0
2/6/20,28,0
2/7/20,30,0
2/8/20,33,0
2/9/20,40,0
2/10/20,45,0
2/11/20,47,0
2/12/20,50,0
2/13/20,58,0
2/14/20,67,0
2/15/20,72,0
2/16/20,75,0
2/17/20,77,0
2/18/20,81,0
2/19/20,84,0
2/20/20,84,0
2/21/20,85,0
2/22/20,85,0
2/23/20,89,0
2/24/20,89,0
2/25/20,91,0
2/26/20,93,0
2/27/20,93,0
2/28/20,93,0
2/29/20,102,0
3/1/20,106,0
3/2/20,108,0
3/3/20,110,0
3/4/20,110,0
3/5/20,117,0
3/6/20,130,0
3/7/20,138,0
3/8/20,150,0
3/9/20,150,0
3/10/20,160,0
3/11/20,178,0
3/12/20,178,0
3/13/20,200,0
3/14/20,212,0
3/15/20,226,0
3/16/20,243,0
3/17/20,266,0
3/18/20,313,0
3/19/20,345,0
3/20/20,385,0
3/21/20,432,2
3/22/20,455,2
3/23/20,509,2
3/24/20,558,2
3/25/20,631,2
3/26/20,683,2
3/27/20,732,2
3/28/20,802,2
3/29/20,844,3
3/30/20,879,3
3/31/20,926,3
4/1/20,1000,3
4/2/20,1049,4
4/3/20,1114,5
4/4/20,1189,6
4/5/20,1309,6
4/6/20,1375,6
4/7/20,1481,6
4/8/20,1623,6
4/9/20,1910,6
4/10/20,2108,7
4/11/20,2299,8
4/12/20,2532,8
4/13/20,2918,9
4/14/20,3252,10
4/15/20,3699,10
4/16/20,4427,10
4/17/20,5050,11
4/18/20,5992,11
4/19/20,6588,11
4/20/20,8014,11
4/21/20,9125,11
4/22/20,10141,12
4/23/20,11178,12
4/24/20,12075,12
4/25/20,12693,12
4/26/20,13624,12
4/27/20,14423,14
4/28/20,14951,14
4/29/20,15641,14
4/30/20,16169,15
5/1/20,17101,16
5/2/20,17548,17
5/3/20,18205,18
5/4/20,18778,18
5/5/20,19410,18
5/6/20,20198,20
5/7/20,20939,20
5/8/20,21707,20
5/9/20,22460,20
5/10/20,23336,20
5/11/20,23822,21
5/12/20,24671,21
5/13/20,25346,21
5/14/20,26098,21
5/15/20,26891,21
5/16/20,27356,22
5/17/20,28038,22
5/18/20,28343,22
5/19/20,28794,22
5/20/20,29364,22
5/21/20,29812,23
5/22/20,30426,23
5/23/20,31068,23
5/24/20,31616,23
5/25/20,31960,23
5/26/20,32343,23
5/27/20,32876,23
5/28/20,33249,23
5/29/20,33860,23
5/30/20,34366,23
5/31/20,34884,23
6/1/20,35292,24
6/2/20,35836,24
6/3/20,36405,24
6/4/20,36922,24
6/5/20,37183,24
6/6/20,37527,25
6/7/20,37910,25
6/8/20,38296,25
6/9/20,38514,25
6/10/20,38965,25
6/11/20,39387,25
6/12/20,39850,25
6/13/20,40197,26
6/14/20,40604,26
6/15/20,40818,26
6/16/20,40969,26
6/17/20,41216,26
6/18/20,41473,26
6/19/20,41615,26
6/20/20,41833,26
6/21/20,42095,26
6/22/20,42313,26
6/23/20,42432,26
6/24/20,42623,26
