@relation seriesEspaña.arff

@attribute Dia: {1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20}
@attribute Casos: numeric
@attribute Fallecidos: numeric

@data
1/22/20,0,0
1/23/20,0,0
1/24/20,0,0
1/25/20,0,0
1/26/20,0,0
1/27/20,0,0
1/28/20,0,0
1/29/20,0,0
1/30/20,0,0
1/31/20,0,0
2/1/20,1,0
2/2/20,1,0
2/3/20,1,0
2/4/20,1,0
2/5/20,1,0
2/6/20,1,0
2/7/20,1,0
2/8/20,1,0
2/9/20,2,0
2/10/20,2,0
2/11/20,2,0
2/12/20,2,0
2/13/20,2,0
2/14/20,2,0
2/15/20,2,0
2/16/20,2,0
2/17/20,2,0
2/18/20,2,0
2/19/20,2,0
2/20/20,2,0
2/21/20,2,0
2/22/20,2,0
2/23/20,2,0
2/24/20,2,0
2/25/20,6,0
2/26/20,13,0
2/27/20,15,0
2/28/20,32,0
2/29/20,45,0
3/1/20,84,0
3/2/20,120,0
3/3/20,165,1
3/4/20,222,2
3/5/20,259,3
3/6/20,400,5
3/7/20,500,10
3/8/20,673,17
3/9/20,1073,28
3/10/20,1695,35
3/11/20,2277,54
3/12/20,2277,55
3/13/20,5232,133
3/14/20,6391,195
3/15/20,7798,289
3/16/20,9942,342
3/17/20,11748,533
3/18/20,13910,623
3/19/20,17963,830
3/20/20,20410,1043
3/21/20,25374,1375
3/22/20,28768,1772
3/23/20,35136,2311
3/24/20,39885,2808
3/25/20,49515,3647
3/26/20,57786,4365
3/27/20,65719,5138
3/28/20,73235,5982
3/29/20,80110,6803
3/30/20,87956,7716
3/31/20,95923,8464
4/1/20,104118,9387
4/2/20,112065,10348
4/3/20,119199,11198
4/4/20,126168,11947
4/5/20,131646,12641
4/6/20,136675,13341
4/7/20,141942,14045
4/8/20,148220,14792
4/9/20,153222,15447
4/10/20,158273,16081
4/11/20,163027,16606
4/12/20,166831,17209
4/13/20,170099,17756
4/14/20,172541,18056
4/15/20,177644,18708
4/16/20,184948,19315
4/17/20,190839,20002
4/18/20,191726,20043
4/19/20,198674,20453
4/20/20,200210,20852
4/21/20,204178,21282
4/22/20,208389,21717
4/23/20,213024,22157
4/24/20,202990,22524
4/25/20,205905,22902
4/26/20,207634,23190
4/27/20,209465,23521
4/28/20,210773,23822
4/29/20,212917,24275
4/30/20,213435,24543
5/1/20,215216,24543
5/2/20,216582,25100
5/3/20,217466,25264
5/4/20,218011,25428
5/5/20,219329,25613
5/6/20,220325,25857
5/7/20,221447,26070
5/8/20,222857,26299
5/9/20,223578,26478
5/10/20,224350,26621
5/11/20,227436,26744
5/12/20,228030,26920
5/13/20,228691,27104
5/14/20,229540,27321
5/15/20,230183,27459
5/16/20,230698,27563
5/17/20,230698,27563
5/18/20,231606,27709
5/19/20,232037,27778
5/20/20,232555,27888
5/21/20,233037,27940
5/22/20,234824,28628
5/23/20,235290,28678
5/24/20,235772,28752
5/25/20,235400,26834
5/26/20,236259,27117
5/27/20,236259,27117
5/28/20,237906,27119
5/29/20,238564,27121
5/30/20,239228,27125
5/31/20,239479,27127
6/1/20,239638,27127
6/2/20,239932,27127
6/3/20,240326,27128
6/4/20,240660,27133
6/5/20,240978,27134
6/6/20,241310,27135
6/7/20,241550,27136
6/8/20,241717,27136
6/9/20,241966,27136
6/10/20,242280,27136
6/11/20,242707,27136
6/12/20,243209,27136
6/13/20,243605,27136
6/14/20,243928,27136
6/15/20,244109,27136
6/16/20,244328,27136
6/17/20,244683,27136
6/18/20,245268,27136
6/19/20,245575,28315
6/20/20,245938,28322
6/21/20,246272,28323
6/22/20,246504,28324
6/23/20,246752,28325
6/24/20,247086,28327
6/25/20,247486,28330
6/26/20,247905,28338
6/27/20,248469,28341
6/28/20,248770,28343
6/29/20,248970,28346
6/30/20,249271,28355
7/1/20,249659,28364
7/2/20,250103,28368
7/3/20,250545,28385
7/4/20,250545,28385
7/5/20,250545,28385
7/6/20,251789,28388
7/7/20,252130,28392
7/8/20,252513,28396
7/9/20,253056,28401
7/10/20,253908,28403
7/11/20,253908,28403
7/12/20,253908,28403
7/13/20,255953,28406
7/14/20,256619,28409
7/15/20,257494,28413
7/16/20,258855,28416
7/17/20,260255,28420
7/18/20,260255,28420
7/19/20,260255,28420
7/20/20,264836,28422
7/21/20,266194,28424
7/22/20,267551,28426
7/23/20,270166,28429
7/24/20,272421,28432
7/25/20,272421,28432
7/26/20,272421,28432
7/27/20,278782,28434
7/28/20,280610,28436
7/29/20,282641,28441
7/30/20,285430,28443
7/31/20,288522,28445
8/1/20,288522,28445
8/2/20,288522,28445
8/3/20,297054,28472
8/4/20,302814,28498
8/5/20,305767,28499
8/6/20,309855,28500
8/7/20,314362,28503
8/8/20,314362,28503
8/9/20,314362,28503
8/10/20,322980,28576
8/11/20,326612,28581
8/12/20,329784,28579
8/13/20,337334,28605
8/14/20,342813,28617
8/15/20,342813,28617
8/16/20,342813,28617
8/17/20,359082,28646
8/18/20,364196,28670
8/19/20,370867,28797
8/20/20,377906,28813
8/21/20,386054,28838
8/22/20,386054,28838
8/23/20,386054,28838
8/24/20,405436,28872
8/25/20,412553,28924
8/26/20,419849,28971
8/27/20,429507,28996
8/28/20,439286,29011
8/29/20,439286,29011
8/30/20,439286,29011
8/31/20,462858,29094
9/1/20,470973,29152
9/2/20,479554,29194
9/3/20,488513,29234
9/4/20,498989,29418
9/5/20,498989,29418
9/6/20,498989,29418
9/7/20,525549,29516
9/8/20,534513,29594
9/9/20,543379,29628
9/10/20,554143,29699
9/11/20,566326,29747
9/12/20,566326,29747
9/13/20,566326,29747
9/14/20,593730,29848
9/15/20,603167,30004
9/16/20,614360,30243
9/17/20,625651,30405
9/18/20,640040,30495
9/19/20,640040,30495
9/20/20,640040,30495
9/21/20,671468,30663
9/22/20,682267,30904
9/23/20,693556,31034
9/24/20,704209,31118
9/25/20,716481,31232
9/26/20,716481,31232
9/27/20,716481,31232
9/28/20,748266,31411
9/29/20,748266,31411
9/30/20,769188,31791
10/1/20,778607,31973
10/2/20,789932,32086
10/3/20,789932,32086
10/4/20,789932,32086
10/5/20,813412,32225
10/6/20,825410,32486
10/7/20,835901,32562
10/8/20,848324,32688
10/9/20,861112,32929
10/10/20,861112,32929
10/11/20,861112,32929
